company,country,director,genre,name,rating,star,writer,released,budget,gross,runtime,score,votes,year
Miramax,USA,Martin Scorsese,Crime,Gangs of New York,R,Leonardo DiCaprio,Jay Cocks,20/12/2002,100000000,77812000,167,7.5,340246,2002
1492 Pictures,UK,Chris Columbus,Adventure,Harry Potter and the Chamber of Secrets,PG,Daniel Radcliffe,J.K. Rowling,15/11/2002,100000000,261988482,161,7.4,432417,2002
Columbia Pictures Corporation,USA,Sam Raimi,Action,Spider-Man,PG-13,Tobey Maguire,Stan Lee,03/05/2002,139000000,403706375,121,7.3,587005,2002
DreamWorks,USA,Steven Spielberg,Biography,Catch Me If You Can,PG-13,Leonardo DiCaprio,Jeff Nathanson,25/12/2002,52000000,164615351,141,8.1,611179,2002
O2 Filmes,Brazil,Fernando Meirelles,Crime,City of God,R,Alexandre Rodrigues,Paulo Lins,13/02/2004,3300000,7563397,130,8.7,580295,2002
R.P. Productions,France,Roman Polanski,Biography,The Pianist,R,Adrien Brody,Ronald Harwood,28/03/2003,35000000,32572577,150,8.5,558449,2002
Warner Bros.,USA,Adam Shankman,Drama,A Walk to Remember,PG,Mandy Moore,Nicholas Sparks,25/01/2002,11000000,41227069,101,7.4,174670,2002
120 Films,France,Gaspar Noé,Crime,Irreversible,NOT RATED,Monica Bellucci,Gaspar Noé,22/05/2002,0,753501,97,7.4,95140,2002
Miramax,USA,Rob Marshall,Comedy,Chicago,PG-13,Renée Zellweger,Bill Condon,24/01/2003,45000000,170687518,113,7.2,184943,2002
DNA Films,UK,Danny Boyle,Drama,28 Days Later...,R,Cillian Murphy,Alex Garland,27/06/2003,8000000,45064915,113,7.6,320108,2002
New Line Cinema,USA,Peter Jackson,Adventure,The Lord of the Rings: The Two Towers,PG-13,Elijah Wood,J.R.R. Tolkien,18/12/2002,94000000,342551365,179,8.7,1206786,2002
DreamWorks,USA,Gore Verbinski,Horror,The Ring,PG-13,Naomi Watts,Ehren Kruger,18/10/2002,48000000,129128133,115,7.1,275425,2002
Imagine Entertainment,USA,Curtis Hanson,Drama,8 Mile,R,Eminem,Scott Silver,08/11/2002,41000000,116724075,110,7,204990,2002
Warner Bros.,USA,Raja Gosnell,Animation,Scooby-Doo,PG,Matthew Lillard,James Gunn,14/06/2002,84000000,153288182,100,5,77811,2002
Fox 2000 Pictures,USA,Adrian Lyne,Drama,Unfaithful,R,Richard Gere,Claude Chabrol,10/05/2002,50000000,52801000,124,6.7,67756,2002
Twentieth Century Fox Film Corporation,USA,Steven Spielberg,Action,Minority Report,PG-13,Tom Cruise,Philip K. Dick,21/06/2002,102000000,132072926,145,7.7,430579,2002
Slough Pond,USA,Steven Shainberg,Comedy,Secretary,R,James Spader,Erin Cressida Wilson,11/10/2002,4000000,4059680,107,7,72138,2002
Universal Pictures,USA,Doug Liman,Action,The Bourne Identity,PG-13,Franka Potente,Tony Gilroy,14/06/2002,60000000,121661683,119,7.9,442597,2002
Touchstone Pictures,UK,Kevin Reynolds,Action,The Count of Monte Cristo,PG-13,Jim Caviezel,Alexandre Dumas,25/01/2002,35000000,54234062,131,7.7,111649,2002
DreamWorks,USA,Sam Mendes,Crime,Road to Perdition,R,Tom Hanks,Max Allan Collins,12/07/2002,80000000,104454762,117,7.7,214021,2002
Touchstone Pictures,USA,Andy Tennant,Comedy,Sweet Home Alabama,PG-13,Reese Witherspoon,Douglas J. Eboch,27/09/2002,38000000,127223418,108,6.2,89028,2002
Lucasfilm,USA,George Lucas,Action,Star Wars: Episode II - Attack of the Clones,PG,Hayden Christensen,George Lucas,16/05/2002,115000000,310675583,142,6.6,510731,2002
Icon Entertainment International,USA,Randall Wallace,Action,We Were Soldiers,R,Mel Gibson,Harold G. Moore,01/03/2002,75000000,78122718,138,7.2,111599,2002
Columbia Pictures Corporation,USA,David Fincher,Crime,Panic Room,R,Jodie Foster,David Koepp,29/03/2002,48000000,96397334,112,6.8,220623,2002
Alcon Entertainment,USA,Christopher Nolan,Drama,Insomnia,R,Al Pacino,Hillary Seitz,24/05/2002,46000000,67355513,118,7.2,235773,2002
Paramount Pictures,USA,Stephen Daldry,Drama,The Hours,PG-13,Meryl Streep,Michael Cunningham,14/02/2003,25000000,41675994,110,7.6,108353,2002
Universal Pictures,Germany,Brett Ratner,Crime,Dragón rojo,R,Anthony Hopkins,Thomas Harris,04/10/2002,78000000,93149898,124,7.2,215791,2002
Constantin Film,UK,Paul W.S. Anderson,Action,Resident Evil,R,Milla Jovovich,Paul W.S. Anderson,15/03/2002,33000000,40119709,100,6.7,216222,2002
Dimension Films,USA,Kurt Wimmer,Action,Equilibrium,R,Christian Bale,Kurt Wimmer,06/12/2002,20000000,1203974,107,7.5,277569,2002
Eon Productions,UK,Lee Tamahori,Action,Die Another Day,PG-13,Pierce Brosnan,Ian Fleming,22/11/2002,142000000,160942139,133,6.1,179342,2002
Columbia Pictures Corporation,USA,Barry Sonnenfeld,Action,Men in Black II,PG-13,Tommy Lee Jones,Lowell Cunningham,03/07/2002,140000000,190418803,88,6.1,284356,2002
Touchstone Pictures,USA,M. Night Shyamalan,Drama,Signs,PG-13,Mel Gibson,M. Night Shyamalan,02/08/2002,72000000,227966634,106,6.7,292420,2002
Beverly Detroit,USA,Spike Jonze,Comedy,Adaptation.,R,Nicolas Cage,Susan Orlean,14/02/2003,19000000,22245861,114,7.7,153539,2002
New Line Cinema,Germany,Guillermo del Toro,Action,Blade II,R,Wesley Snipes,Marv Wolfman,22/03/2002,54000000,82348319,117,6.7,171317,2002
Gold Circle Films,Canada,Joel Zwick,Comedy,Casarse... está en griego,PG,Nia Vardalos,Nia Vardalos,02/08/2002,5000000,241438208,95,6.6,107984,2002
Paramount Pictures,USA,Stuart Baird,Action,Star Trek: Nemesis,PG-13,Patrick Stewart,Gene Roddenberry,13/12/2002,60000000,43254409,116,6.4,62507,2002
Twentieth Century Fox Film Corporation,USA,Chris Wedge,Animation,Ice Age,PG,Denis Leary,Michael J. Wilson,15/03/2002,59000000,176387405,81,7.6,357258,2002
Revolution Studios,USA,Rob Cohen,Action,xXx,PG-13,Vin Diesel,Rich Wilkes,09/08/2002,70000000,142109382,124,5.8,156008,2002
Touchstone Pictures,USA,Tom Brady,Comedy,The Hot Chick,PG-13,Rob Schneider,Tom Brady,13/12/2002,0,35081594,104,5.5,79439,2002
Walt Disney Pictures,USA,Dean DeBlois,Animation,Lilo & Stitch,PG,Daveigh Chase,Chris Sanders,21/06/2002,80000000,145794338,85,7.2,131270,2002
New Line Cinema,USA,Jay Roach,Action,Austin Powers in Goldmember,PG-13,Mike Myers,Mike Myers,26/07/2002,63000000,213307889,94,6.2,172153,2002
Kintop Pictures,UK,Gurinder Chadha,Comedy,Bend It Like Beckham,PG-13,Parminder Nagra,Gurinder Chadha,01/08/2003,0,32543449,112,6.7,94400,2002
Fox 2000 Pictures,USA,Joel Schumacher,Crime,Phone Booth,R,Colin Farrell,Larry Cohen,04/04/2003,13000000,46566212,81,7.1,221926,2002
Handprint Entertainment,USA,Julie Taymor,Biography,Frida,R,Salma Hayek,Hayden Herrera,22/11/2002,12000000,25885000,123,7.4,66915,2002
Paramount Pictures,USA,Jake Kasdan,Comedy,Orange County,PG-13,Colin Hanks,Mike White,11/01/2002,18000000,41032915,82,6.2,42919,2002
Walt Disney Feature Animation,USA,Ron Clements,Animation,Treasure Planet,PG,Joseph Gordon-Levitt,Robert Louis Stevenson,27/11/2002,140000000,38176783,95,7.1,79637,2002
First Light Production,UK,Kathryn Bigelow,Drama,K-19: The Widowmaker,PG-13,Harrison Ford,Louis Nowra,19/07/2002,100000000,35168966,138,6.7,52002,2002
Myriad Pictures,Germany,Walt Becker,Comedy,Van Wilder: Party Liaison,R,Ryan Reynolds,Brent Goldberg,05/04/2002,6000000,21005329,92,6.4,93275,2002
Spyglass Entertainment,USA,Rob Bowman,Action,Reign of Fire,PG-13,Matthew McConaughey,Gregg Chabot,12/07/2002,60000000,43061982,101,6.2,113304,2002
Universal Pictures,USA,Chuck Russell,Action,The Scorpion King,PG-13,Dwayne Johnson,Stephen Sommers,19/04/2002,60000000,91047077,92,5.5,110841,2002
New Line Cinema,USA,Paul Thomas Anderson,Comedy,Punch-Drunk Love,R,Adam Sandler,Paul Thomas Anderson,01/11/2002,25000000,17844216,95,7.3,118802,2002
Warner Bros.,USA,Steve Beck,Horror,Ghost Ship,R,Julianna Margulies,Mark Hanlon,25/10/2002,35000000,30113491,91,5.5,80523,2002
Columbia Pictures Corporation,USA,Roger Kumble,Comedy,The Sweetest Thing,R,Cameron Diaz,Nancy Pimental,12/04/2002,43000000,24718164,88,5.1,48712,2002
Twentieth Century Fox Film Corporation,USA,Steven Soderbergh,Drama,Solaris,PG-13,George Clooney,Stanislaw Lem,27/11/2002,47000000,14970038,99,6.2,70859,2002
EuropaCorp,France,Louis Leterrier,Action,The Transporter,PG-13,Jason Statham,Luc Besson,11/10/2002,21000000,25296447,92,6.8,252974,2002
Universal Pictures,UK,Chris Weitz,Comedy,About a Boy,PG-13,Hugh Grant,Nick Hornby,17/05/2002,30000000,41385278,101,7.1,151125,2002
Regency Enterprises,USA,Stephen Herek,Comedy,Life or Something Like It,PG-13,Angelina Jolie,John Scott Shepherd,26/04/2002,40000000,14448589,103,5.8,20540,2002
Beijing New Picture Film Co.,China,Yimou Zhang,Action,Hero,PG-13,Jet Li,Feng Li,27/08/2004,31000000,53710019,107,7.9,157335,2002
Media Asia Films,Hong Kong,Wai-Keung Lau,Crime,Infernal Affairs,R,Andy Lau,Alan Mak,12/12/2002,6428966,169659,101,8.1,100326,2002
Warner Bros.,USA,Michael Rymer,Drama,Queen of the Damned,R,Aaliyah,Anne Rice,22/02/2002,35000000,30336800,101,5.3,46391,2002
Lakeshore Entertainment,USA,Mark Pellington,Drama,The Mothman Prophecies,PG-13,Richard Gere,Richard Hatem,25/01/2002,32000000,35746370,119,6.5,67002,2002
Castle Rock Entertainment,USA,Marc Lawrence,Comedy,Two Weeks Notice,PG-13,Sandra Bullock,Marc Lawrence,20/12/2002,60000000,93354851,101,6.1,91854,2002
Columbia Pictures Corporation,USA,Michael Apted,Crime,Enough,PG-13,Jennifer Lopez,Nicholas Kazan,24/05/2002,38000000,40007742,115,5.7,32959,2002
Flan de Coco Films,USA,Miguel Arteta,Drama,The Good Girl,R,Jennifer Aniston,Mike White,30/08/2002,8000000,14015786,93,6.5,39603,2002
25th Hour Productions,USA,Spike Lee,Drama,25th Hour,R,Edward Norton,David Benioff,10/01/2003,5000000,13060843,135,7.7,156154,2002
Tonic Films,USA,Eli Roth,Comedy,Cabin Fever,R,Jordan Ladd,Eli Roth,12/09/2003,1500000,21158188,93,5.6,65465,2002
DreamWorks Animation,USA,Kelly Asbury,Animation,Spirit: Stallion of the Cimarron,G,Matt Damon,John Fusco,24/05/2002,80000000,73280117,83,7.1,50166,2002
Warner Bros.,USA,Simon Wells,Action,The Time Machine,PG-13,Guy Pearce,H.G. Wells,08/03/2002,80000000,56684819,96,5.9,108052,2002
Dimension Films,USA,Rick Rosenthal,Comedy,Halloween: Resurrection,R,Jamie Lee Curtis,Debra Hill,12/07/2002,15000000,30354442,94,4.1,29063,2002
Universal Pictures,USA,John Stockwell,Drama,Blue Crush,PG-13,Kate Bosworth,Susan Orlean,16/08/2002,30000000,40390647,104,5.6,27193,2002
Metro-Goldwyn-Mayer (MGM),USA,John Woo,Action,Windtalkers,R,Nicolas Cage,John Rice,14/06/2002,115000000,40914068,134,6,58906,2002
Warner Bros.,USA,Andrew Davis,Action,Collateral Damage,R,Arnold Schwarzenegger,Ronald Roose,08/02/2002,85000000,40077257,108,5.5,64737,2002
Columbia Pictures Corporation,USA,Steven Brill,Comedy,Mr. Deeds,PG-13,Adam Sandler,Clarence Budington Kelland,28/06/2002,50000000,126293452,96,5.8,118036,2002
Paramount Pictures,USA,Phil Alden Robinson,Action,The Sum of All Fears,PG-13,Ben Affleck,Tom Clancy,31/05/2002,68000000,118907036,124,6.4,91007,2002
Revolution Studios,USA,Wayne Wang,Comedy,Maid in Manhattan,PG-13,Jennifer Lopez,John Hughes,13/12/2002,55000000,94011225,105,5.1,72953,2002
New Line Cinema,USA,Nick Cassavetes,Crime,John Q,PG-13,Denzel Washington,James Kearns,15/02/2002,36000000,71756802,116,7.1,106341,2002
Kingsgate Films,Germany,Roger Avary,Comedy,The Rules of Attraction,R,James Van Der Beek,Bret Easton Ellis,11/10/2002,4000000,6532619,110,6.7,45923,2002
"Deseo, El",Spain,Pedro Almodóvar,Drama,Talk to Her,R,Rosario Flores,Pedro Almodóvar,14/02/2003,0,9284265,112,8,91586,2002
Touchstone Pictures,USA,Joel Schumacher,Action,Bad Company,PG-13,Anthony Hopkins,Gary M. Goodman,07/06/2002,70000000,30160161,116,5.6,41284,2002
Twentieth Century Fox Film Corporation,USA,Carl Franklin,Crime,High Crimes,PG-13,Jim Caviezel,Joseph Finder,05/04/2002,42000000,41543207,115,6.3,32605,2002
Canal+,France,Alain Chabat,Adventure,Asterix and Obelix Meet Cleopatra,PG,Gérard Depardieu,René Goscinny,30/01/2002,0,3115188,107,6.6,40503,2002
Walt Disney Pictures,USA,Jay Russell,Drama,Tuck Everlasting,PG,Alexis Bledel,Natalie Babbitt,11/10/2002,15000000,19158074,90,6.7,18985,2002
Dimension Films,USA,Robert Rodriguez,Action,Spy Kids 2: Island of Lost Dreams,PG,Alexa PenaVega,Robert Rodriguez,07/08/2002,38000000,85846429,100,5.1,49101,2002
Touchstone Pictures,USA,Brad Silberling,Drama,Moonlight Mile,PG-13,Jake Gyllenhaal,Brad Silberling,04/10/2002,21000000,6835856,112,6.7,12451,2002
Odeon Films,Canada,David Cronenberg,Drama,Spider,R,Ralph Fiennes,Patrick McGrath,13/11/2002,8000000,1641788,98,6.8,31663,2002
Miramax,USA,George Clooney,Biography,Confessions of a Dangerous Mind,R,Sam Rockwell,Chuck Barris,24/01/2003,29000000,16003576,113,7.1,74700,2002
New Line Cinema,USA,Alexander Payne,Comedy,About Schmidt,R,Jack Nicholson,Louis Begley,03/01/2003,30000000,65016287,125,7.2,112029,2002
Warner Bros.,USA,Barbet Schroeder,Crime,Murder by Numbers,R,Sandra Bullock,Tony Gayton,19/04/2002,50000000,31874869,115,6.1,46166,2002
Focus Features,USA,Todd Haynes,Drama,Far from Heaven,PG-13,Julianne Moore,Todd Haynes,10/01/2003,13500000,15854988,107,7.4,38469,2002
Happy Madison Productions,USA,Seth Kearsley,Animation,Eight Crazy Nights,PG-13,Adam Sandler,Brooks Arthur,27/11/2002,34000000,23443124,76,5.3,19027,2002
Avery Pix,USA,Marcus Raboy,Comedy,Friday After Next,R,Ice Cube,Ice Cube,22/11/2002,10000000,32983713,85,5.8,21274,2002
Fuzzy Bunny Films (I),USA,Tamra Davis,Comedy,Crossroads,PG-13,Britney Spears,Shonda Rhimes,15/02/2002,12000000,37191304,93,3.4,35300,2002
Fox Searchlight Pictures,USA,Mark Romanek,Drama,One Hour Photo,R,Robin Williams,Mark Romanek,13/09/2002,12000000,31597131,96,6.8,102344,2002
Warner Bros.,USA,Ellory Elkayem,Action,Eight Legged Freaks,PG-13,David Arquette,Ellory Elkayem,17/07/2002,30000000,17322606,99,5.4,46341,2002
Miramax,USA,Michael Lehmann,Comedy,40 Days and 40 Nights,R,Josh Hartnett,Rob Perez,01/03/2002,17000000,37950822,96,5.6,64465,2002
CJ Entertainment,South Korea,Chan-wook Park,Crime,Sympathy for Mr. Vengeance,R,Kang-ho Song,Jae-sun Lee,29/03/2002,4000000,45289,129,7.7,50651,2002
Paramount Pictures,USA,Shawn Levy,Adventure,Big Fat Liar,PG,Frankie Muniz,Dan Schneider,08/02/2002,15000000,47811275,88,5.4,30579,2002
United Artists Film Corporation,UK,Douglas McGrath,Drama,Nicholas Nickleby,PG,Charlie Hunnam,Charles Dickens,09/01/2004,10000000,1587173,132,7.2,9963,2002
Blue Train Productions,USA,Kevin Donovan,Action,The Tuxedo,PG-13,Jackie Chan,Phil Hay,27/09/2002,60000000,50547998,98,5.3,67127,2002
New Line Cinema,USA,Andrew Niccol,Comedy,S1m0ne,PG-13,Al Pacino,Andrew Niccol,23/08/2002,0,9680913,117,6.1,54019,2002
Columbia Pictures,USA,Luis Mandoki,Action,Trapped,R,Kevin Bacon,Greg Iles,20/09/2002,30000000,62536,106,6.2,20617,2002
Revolution Studios,USA,Ed Decter,Comedy,The New Guy,PG-13,DJ Qualls,David Kendall,10/05/2002,13000000,28972187,88,5.9,29982,2002
2 Loop Films,USA,Lucky McKee,Drama,May,R,Angela Bettis,Lucky McKee,11/04/2003,500000,150277,93,6.7,28449,2002
Muse Productions,USA,Jonas Åkerlund,Comedy,Spun,R,Jason Schwartzman,Will De Los Santos,07/02/2003,2000000,410241,101,6.8,33439,2002
98 MPH Productions,USA,John Lee Hancock,Drama,The Rookie,G,Dennis Quaid,Mike Rich,29/03/2002,20000000,75600072,127,7,28077,2002
Screen Gems,UK,Guy Ritchie,Comedy,Swept Away,R,Madonna,Guy Ritchie,11/10/2002,10000000,7876,89,3.6,13734,2002
Motion Picture Corporation of America (MPCA),USA,Mort Nathan,Comedy,Boat Trip,R,Cuba Gooding Jr.,Mort Nathan,21/03/2003,20000000,8586376,94,4.9,27849,2002
Amen Ra Films,USA,Walter Hill,Action,Undisputed,R,Wesley Snipes,David Giler,23/08/2002,20000000,12398628,100,6.2,24459,2002
Twentieth Century Fox Film Corporation,USA,Steve Oedekerk,Action,Kung Pow: Enter the Fist,PG-13,Steve Oedekerk,Steve Oedekerk,25/01/2002,10000000,16033556,81,6.2,39559,2002
Warner Bros.,USA,Peter Kosminsky,Drama,White Oleander,PG-13,Michelle Pfeiffer,Janet Fitch,11/10/2002,16000000,16346122,109,7.2,26787,2002
Quinta Communications,France,Brian De Palma,Crime,Mujer fatal,R,Rebecca Romijn,Brian De Palma,06/11/2002,35000000,6592103,114,6.3,29963,2002
Alphaville Films,USA,Ron Shelton,Action,Dark Blue,R,Kurt Russell,James Ellroy,21/02/2003,15000000,9059588,118,6.6,18124,2002
Walt Disney Pictures,USA,Michael Lembeck,Comedy,The Santa Clause 2,G,Tim Allen,Don Rhymer,01/11/2002,65000000,139236327,104,5.6,38234,2002
Paramount Pictures,USA,Roger Michell,Drama,Changing Lanes,R,Ben Affleck,Chap Taylor,12/04/2002,45000000,66818548,98,6.5,60451,2002
Dimension Films,USA,Charles Stone III,Action,Paid in Full,R,Mekhi Phifer,Azie Faison Jr.,25/10/2002,0,3042188,97,7.1,8112,2002
Dimension Films,USA,David Twohy,Horror,Below,R,Bruce Greenwood,Lucas Sussman,18/10/2002,40000000,605562,105,6.2,18804,2002
Paramount Pictures,USA,Jonathan Frakes,Action,Clockstoppers,PG,Jesse Bradford,Rob Hedden,29/03/2002,26000000,36985501,94,5.2,11909,2002
Touchstone Pictures,USA,Barry Sonnenfeld,Comedy,Big Trouble,PG-13,Tim Allen,Dave Barry,05/04/2002,40000000,7262288,85,6.5,18116,2002
DreamWorks,USA,Woody Allen,Comedy,Hollywood Ending,PG-13,Woody Allen,Woody Allen,03/05/2002,16000000,4839383,112,6.6,23072,2002
Walt Disney Pictures,Canada,Brian Levant,Adventure,Snow Dogs,PG,Cuba Gooding Jr.,Jim Kouf,18/01/2002,35000000,81172560,99,5.1,21710,2002
Twentieth Century Fox Film Corporation,USA,John Polson,Drama,Swimfan,PG-13,Jesse Bradford,Charles F. Bohl,06/09/2002,8500000,28563926,85,5,17091,2002
Fox 2000 Pictures,USA,Charles Stone III,Comedy,Drumline,PG-13,Nick Cannon,Shawn Schepps,13/12/2002,20000000,56398162,118,5.7,29636,2002
South Pacific Pictures,New Zealand,Niki Caro,Drama,La leyenda de las ballenas,PG-13,Keisha Castle-Hughes,Niki Caro,29/08/2003,0,20779666,101,7.6,35767,2002
Malpaso Productions,USA,Clint Eastwood,Action,Blood Work,R,Clint Eastwood,Michael Connelly,09/08/2002,50000000,26199517,110,6.4,36540,2002
Paramount Pictures,UK,Shekhar Kapur,Adventure,The Four Feathers,PG-13,Heath Ledger,A.E.W. Mason,20/09/2002,35000000,18306166,132,6.5,29532,2002
Metro-Goldwyn-Mayer (MGM),USA,Tim Story,Comedy,Barbershop,PG-13,Ice Cube,Mark Brown,13/09/2002,12000000,75782105,102,6.3,23871,2002
Twentieth Century Fox Film Corporation,USA,John Schultz,Comedy,Like Mike,PG,Shad Moss,Michael Elliot,03/07/2002,30000000,51432423,99,5.1,16153,2002
Centre National de la Cinématographie (CNC),France,Jean-Claude Brisseau,Comedy,Secret Things,NOT RATED,Coralie Revel,Jean-Claude Brisseau,16/10/2002,0,104533,115,6.1,3916,2002
Revolution Films,UK,Michael Winterbottom,Biography,24 Hour Party People,R,Steve Coogan,Frank Cottrell Boyce,20/09/2002,0,1130379,117,7.4,28543,2002
Material,USA,Tom Dey,Action,Showtime,PG-13,Robert De Niro,Jorge Saralegui,15/03/2002,85000000,38082712,95,5.5,54818,2002
Columbia Pictures Corporation,USA,Betty Thomas,Action,I Spy,PG-13,Eddie Murphy,Morton S. Fine,01/11/2002,70000000,33105600,97,5.4,43883,2002
Castle Rock Entertainment,USA,D.J. Caruso,Crime,The Salton Sea,R,Val Kilmer,Tony Gayton,17/05/2002,18000000,764554,103,7.2,27543,2002
Revolution Studios,USA,Perry Andelin Blake,Adventure,The Master of Disguise,PG,Dana Carvey,Dana Carvey,02/08/2002,16000000,40363530,80,3.3,19029,2002
Miramax,UK,Oliver Parker,Comedy,The Importance of Being Earnest,PG,Rupert Everett,Oscar Wilde,21/06/2002,15000000,8378141,97,6.9,19899,2002
Cheyenne Enterprises,USA,Gregory Hoblit,Drama,Hart's War,R,Bruce Willis,John Katzenbach,15/02/2002,70000000,19076815,125,6.3,45910,2002
Silver Sphere Corporation,USA,Don Coscarelli,Comedy,Bubba Ho-Tep,R,Bruce Campbell,Joe R. Lansdale,10/10/2003,1000000,2003420,92,7.2,40698,2002
Pioneer LDC,Japan,Takashi Shimizu,Horror,Ju-on: The Grudge,R,Megumi Okina,Takashi Shimizu,25/01/2003,3500000,325661,92,6.7,34319,2002
Universal Pictures,USA,Malcolm D. Lee,Action,Undercover Brother,PG-13,Eddie Griffin,John Ridley,31/05/2002,25000000,38230435,86,5.8,30636,2002
Memfis Film,Sweden,Lukas Moodysson,Crime,Lilya 4-Ever,R,Oksana Akinshina,Lukas Moodysson,23/08/2002,0,181655,109,7.9,37477,2002
BBC Films,UK,Stephen Frears,Crime,Dirty Pretty Things,R,Chiwetel Ejiofor,Steven Knight,05/09/2003,10000000,8111360,97,7.4,36601,2002
All Girl Productions,USA,Callie Khouri,Drama,Divine Secrets of the Ya-Ya Sisterhood,PG-13,Sandra Bullock,Rebecca Wells,07/06/2002,27000000,69599016,116,6,16109,2002
Castle Rock Entertainment,USA,Ron Underwood,Comedy,The Adventures of Pluto Nash,PG-13,Eddie Murphy,Neil Cuthbert,16/08/2002,100000000,4420080,95,3.8,21240,2002
Fox Searchlight Pictures,USA,Denzel Washington,Biography,Antwone Fisher,PG-13,Denzel Washington,Antwone Fisher,10/01/2003,12500000,21078145,120,7.3,28371,2002
Columbia Pictures Corporation,USA,Rob Minkoff,Animation,Stuart Little 2,PG,Michael J. Fox,E.B. White,19/07/2002,120000000,64956806,77,5.4,40457,2002
Paramount Pictures,USA,Joe Carnahan,Crime,Narc,R,Ray Liotta,Joe Carnahan,10/01/2003,7500000,10460089,105,7.2,35355,2002
Hell's Kitchen Films,Ireland,Jim Sheridan,Drama,Tierra de sueños,PG-13,Paddy Considine,Jim Sheridan,06/02/2004,0,15539266,105,7.8,37725,2002
Atlas Entertainment,USA,John McTiernan,Action,Rollerball,R,Chris Klein,William Harrison,08/02/2002,70000000,18990798,98,3,23008,2002
Crossfire Sound & Pictures,USA,Jordan Brady,Comedy,Waking Up in Reno,R,Billy Bob Thornton,Brent Briscoe,13/12/2002,0,267109,91,5.5,5105,2002
Universal Pictures,USA,Tom Shadyac,Drama,Dragonfly,PG-13,Kevin Costner,Brandon Camp,22/02/2002,60000000,30063805,104,6.1,33117,2002
Warner Bros.,UK,Danny DeVito,Comedy,Death to Smoochy,R,Robin Williams,Adam Resnick,29/03/2002,55000000,8355815,109,6.4,35823,2002
Kanzaman,UK,Paul McGuigan,Crime,The Reckoning,R,Willem Dafoe,Barry Unsworth,04/06/2004,0,256620,112,6.6,5191,2002
Blockbuster Films,USA,David Jacobson,Biography,Dahmer,R,Jeremy Renner,David Jacobson,13/03/2003,0,144008,101,5.6,7967,2002
FTM Productions,Germany,Reginald Hudlin,Comedy,Serving Sara,PG-13,Matthew Perry,Jay Scherick,23/08/2002,29000000,16930185,100,5.3,15017,2002
